home,score,away,year
Chile ,3–1, Australia,2014
Australia ,2–3, Netherlands,2014
Spain ,0–2, Chile,2014
Australia ,0–3, Spain,2014
Netherlands ,2–0, Chile,2014
Colombia ,3–0, Greece,2014
Ivory Coast ,2–1, Japan,2014
Colombia ,2–1, Ivory Coast,2014
Japan ,0–0, Greece,2014
Japan ,1–4, Colombia,2014
Greece ,2–1, Ivory Coast,2014
Uruguay ,1–3, Costa Rica,2014
England ,1–2, Italy,2014
Uruguay ,2–1, England,2014
Italy ,0–1, Costa Rica,2014
Italy ,0–1, Uruguay,2014
Costa Rica ,0–0, England,2014
Switzerland ,2–1, Ecuador,2014
France ,3–0, Honduras,2014
Switzerland ,2–5, France,2014
Honduras ,1–2, Ecuador,2014
Honduras ,0–3, Switzerland,2014
Ecuador ,0–0, France,2014
Argentina ,2–1, Bosnia and Herzegovina,2014
Iran ,0–0, Nigeria,2014
Argentina ,1–0, Iran,2014
Nigeria ,1–0, Bosnia and Herzegovina,2014
Nigeria ,2–3, Argentina,2014
Bosnia and Herzegovina ,3–1, Iran,2014
Germany ,4–0, Portugal,2014
Ghana ,1–2, United States,2014
Germany ,2–2, Ghana,2014
United States ,2–2, Portugal,2014
United States ,0–1, Germany,2014
Portugal ,2–1, Ghana,2014
Belgium ,2–1, Algeria,2014
Russia ,1–1, South Korea,2014
Belgium ,1–0, Russia,2014
South Korea ,2–4, Algeria,2014
South Korea ,0–1, Belgium,2014
Algeria ,1–1, Russia,2014
Brazil ,1–1 (a.e.t.), Chile,2014
Colombia ,2–0, Uruguay,2014
Netherlands ,2–1, Mexico,2014
Costa Rica ,1–1 (a.e.t.), Greece,2014
France ,2–0, Nigeria,2014
Germany ,2–1 (a.e.t.), Algeria,2014
Argentina ,1–0 (a.e.t.), Switzerland,2014
Belgium ,2–1 (a.e.t.), United States,2014
France ,0–1, Germany,2014
Brazil ,2–1, Colombia,2014
Argentina ,1–0, Belgium,2014
Netherlands ,0–0 (a.e.t.), Costa Rica,2014
Brazil ,1–7, Germany,2014
Netherlands ,0–0 (a.e.t.), Argentina,2014
Brazil ,0–3, Netherlands,2014
Germany ,1–0 (a.e.t.), Argentina,2014
Qatar ,0–2, Ecuador,2022
Senegal ,0–2, Netherlands,2022
Qatar ,1–3, Senegal,2022
Netherlands ,1–1, Ecuador,2022
Ecuador ,1–2, Senegal,2022
Netherlands ,2–0, Qatar,2022
England ,6–2, Iran,2022
United States ,1–1, Wales,2022
Wales ,0–2, Iran,2022
England ,0–0, United States,2022
Wales ,0–3, England,2022
Iran ,0–1, United States,2022
Argentina ,1–2, Saudi Arabia,2022
Mexico ,0–0, Poland,2022
Poland ,2–0, Saudi Arabia,2022
Argentina ,2–0, Mexico,2022
Poland ,0–2, Argentina,2022
Saudi Arabia ,1–2, Mexico,2022
Denmark ,0–0, Tunisia,2022
France ,4–1, Australia,2022
Tunisia ,0–1, Australia,2022
France ,2–1, Denmark,2022
Australia ,1–0, Denmark,2022
Tunisia ,1–0, France,2022
Germany ,1–2, Japan,2022
Spain ,7–0, Costa Rica,2022
Japan ,0–1, Costa Rica,2022
Spain ,1–1, Germany,2022
Japan ,2–1, Spain,2022
Costa Rica ,2–4, Germany,2022
Morocco ,0–0, Croatia,2022
Belgium ,1–0, Canada,2022
Belgium ,0–2, Morocco,2022
Croatia ,4–1, Canada,2022
Croatia ,0–0, Belgium,2022
Canada ,1–2, Morocco,2022
Switzerland ,1–0, Cameroon,2022
Brazil ,2–0, Serbia,2022
Cameroon ,3–3, Serbia,2022
Brazil ,1–0, Switzerland,2022
Serbia ,2–3, Switzerland,2022
Cameroon ,1–0, Brazil,2022
Uruguay ,0–0, South Korea,2022
Portugal ,3–2, Ghana,2022
South Korea ,2–3, Ghana,2022
Portugal ,2–0, Uruguay,2022
Ghana ,0–2, Uruguay,2022
South Korea ,2–1, Portugal,2022
Netherlands ,3–1, United States,2022
Argentina ,2–1, Australia,2022
France ,3–1, Poland,2022
England ,3–0, Senegal,2022
Japan ,1–1, Croatia,2022
Brazil ,4–1, South Korea,2022
Morocco ,0–0, Spain,2022
Portugal ,6–1, Switzerland,2022
Croatia ,1–1, Brazil,2022
Netherlands ,2–2, Argentina,2022
Morocco ,1–0, Portugal,2022
England ,1–2, France,2022
Argentina ,3–0, Croatia,2022
France ,2–0, Morocco,2022
Croatia ,2–1, Morocco,2022
Argentina ,3–3 (a.e.t.), France,2022
